index,stock_id,year,file_path,mda_sentence,audit_sentence,mda_score,audit_score
000498/2012,498,2012,clean1\深圳A股非ST公司\000498\山东高速路桥集团股份有限公司2012年年度报告.pdf.txt_total.md,81,10,0.16588283,-0.169972668
000498/2014,498,2014,clean1\深圳A股非ST公司\000498\山东高速路桥集团股份有限公司2014年年度报告.pdf.txt_total.md,45,10,0.183178583,-0.169821192
000501/2012,501,2012,clean1\深圳A股非ST公司\000501\武汉武商集团股份有限公司2012年年度报告.pdf.txt_total.md,33,11,0.519080321,-0.063590777
000501/2013,501,2013,clean1\深圳A股非ST公司\000501\武汉武商集团股份有限公司2013年年度报告.pdf.txt_total.md,37,11,0.272450145,-0.063590777
000501/2014,501,2014,clean1\深圳A股非ST公司\000501\武汉武商集团股份有限公司2014年年度报告（更新后）.pdf.txt_total.md,50,11,0.337040757,-0.063405549
000501/2015,501,2015,clean1\深圳A股非ST公司\000501\鄂武商Ａ：2015年年度报告.pdf.txt_total.md,50,11,0.394908754,-0.063405805
000501/2016,501,2016,clean1\深圳A股非ST公司\000501\鄂武商Ａ：2016年年度报告.pdf.txt_total.md,52,11,0.471728956,-0.063405549
000501/2017,501,2017,clean1\深圳A股非ST公司\000501\鄂武商Ａ：2017年年度报告.pdf.txt_total.md,73,12,0.489186094,0.070325835
000501/2018,501,2018,clean1\深圳A股非ST公司\000501\鄂武商Ａ：2018年年度报告.pdf.txt_total.md,82,12,0.245972254,0.062480494
000502/2012,502,2012,clean1\深圳A股非ST公司\000502\绿景控股股份有限公司2012年年度报告.pdf.txt_total.md,19,12,0.124871039,-0.058993658
000502/2013,502,2013,clean1\深圳A股非ST公司\000502\绿景控股股份有限公司2013年年度报告.pdf.txt_total.md,22,12,-0.006481063,-0.058993658
000502/2014,502,2014,clean1\深圳A股非ST公司\000502\绿景控股股份有限公司2014年年度报告.pdf.txt_total.md,23,12,-0.008784211,-0.058993658
000502/2015,502,2015,clean1\深圳A股非ST公司\000502\绿景控股：2015年年度报告.pdf.txt_total.md,31,12,-0.342951568,-0.058820938
000502/2016,502,2016,clean1\深圳A股非ST公司\000502\绿景控股：2016年年度报告（更新后）.pdf.txt_total.md,27,12,0.028720273,-0.058820938
000502/2017,502,2017,clean1\深圳A股非ST公司\000502\绿景控股：2017年年度报告.pdf.txt_total.md,22,12,-0.103644841,0.067323803
000502/2018,502,2018,clean1\深圳A股非ST公司\000502\绿景控股：2018年年度报告.pdf.txt_total.md,35,13,0.093274453,-0.00445301
000503/2018,503,2018,clean1\深圳A股非ST公司\000503\国新健康：2018年年度报告.pdf.txt_total.md,22,13,0.380959874,0.025267021
000503/2012,503,2012,clean1\深圳A股非ST公司\000503\海虹企业(控股)股份有限公司2012年年度报告（更新后）.pdf.txt_total.md,12,5,0.511356041,-0.030861352
000503/2013,503,2013,clean1\深圳A股非ST公司\000503\海虹企业(控股)股份有限公司2013年年度报告.pdf.txt_total.md,27,11,0.279228744,-0.063764872
000503/2014,503,2014,clean1\深圳A股非ST公司\000503\海虹企业(控股)股份有限公司2014年年度报告.pdf.txt_total.md,38,11,0.445560146,-0.063484283
000503/2015,503,2015,clean1\深圳A股非ST公司\000503\海虹控股：2015年年度报告.pdf.txt_total.md,49,11,0.22882595,-0.063579644
000503/2016,503,2016,clean1\深圳A股非ST公司\000503\海虹控股：2016年年度报告.pdf.txt_total.md,38,11,0.401681098,-0.063579644
000503/2017,503,2017,clean1\深圳A股非ST公司\000503\海虹控股：2017年年度报告.pdf.txt_total.md,23,13,0.08776252,0.061540167
000504/2016,504,2016,clean1\深圳A股非ST公司\000504\_ST生物：2016年年度报告.pdf.txt_total.md,32,11,0.401754085,-0.063284758
000504/2011,504,2011,clean1\深圳A股非ST公司\000504\北京赛迪传媒投资股份有限公司2011年年度报告.pdf.txt_total.md,453,8,0.047259157,-0.000522095
000504/2012,504,2012,clean1\深圳A股非ST公司\000504\北京赛迪传媒投资股份有限公司2012年年度报告（更新后）.pdf.txt_total.md,71,8,-0.016965234,0.000515406
000504/2013,504,2013,clean1\深圳A股非ST公司\000504\北京赛迪传媒投资股份有限公司2013年年度报告(更新后).pdf.txt_total.md,47,8,-0.01506288,0.001699616
000504/2015,504,2015,clean1\深圳A股非ST公司\000504\南华生物：2015年年度报告.pdf.txt_total.md,15,14,0.293542836,-0.191372511
000504/2017,504,2017,clean1\深圳A股非ST公司\000504\南华生物：2017年年度报告.pdf.txt_total.md,34,0,0.490007471,
000504/2018,504,2018,clean1\深圳A股非ST公司\000504\南华生物：2018年年度报告.pdf.txt_total.md,12,13,0.147946921,-0.129654259
000506/2011,506,2011,clean1\深圳A股非ST公司\000506\中润资源投资股份有限公司2011年年度报告.pdf.txt_total.md,471,0,0.042040249,
000506/2013,506,2013,clean1\深圳A股非ST公司\000506\中润资源投资股份有限公司2013年年度报告.pdf.txt_total.md,89,11,0.107621855,-0.063431384
000506/2014,506,2014,clean1\深圳A股非ST公司\000506\中润资源投资股份有限公司2014年年度报告.pdf.txt_total.md,61,11,0.188887918,-0.063431384
000506/2015,506,2015,clean1\深圳A股非ST公司\000506\中润资源：2015年年度报告（更新后）.pdf.txt_total.md,78,11,0.026335596,-0.063616612
000506/2016,506,2016,clean1\深圳A股非ST公司\000506\中润资源：2016年年度报告（更新后）.pdf.txt_total.md,92,13,0.042030538,-0.255096774
000506/2017,506,2017,clean1\深圳A股非ST公司\000506\中润资源：2017年年度报告.pdf.txt_total.md,92,17,0.099601887,-0.349161338
000506/2018,506,2018,clean1\深圳A股非ST公司\000506\中润资源：2018年年度报告.pdf.txt_total.md,118,51,-0.137837921,-0.133006234
000507/2012,507,2012,clean1\深圳A股非ST公司\000507\珠海港股份有限公司2012年年度报告.pdf.txt_total.md,33,12,-0.009433476,-0.05882387
000507/2013,507,2013,clean1\深圳A股非ST公司\000507\珠海港股份有限公司2013年年度报告.pdf.txt_total.md,38,8,0.137060044,-0.194385281
000507/2014,507,2014,clean1\深圳A股非ST公司\000507\珠海港股份有限公司2014年年度报告.pdf.txt_total.md,60,6,0.278622911,-0.093636083
000507/2016,507,2016,clean1\深圳A股非ST公司\000507\珠海港：2016年年度报告.pdf.txt_total.md,80,3,0.464642974,-0.001836769
000507/2017,507,2017,clean1\深圳A股非ST公司\000507\珠海港：2017年年度报告.pdf.txt_total.md,74,10,0.472819064,0.078807541
000507/2018,507,2018,clean1\深圳A股非ST公司\000507\珠海港：2018年年度报告.pdf.txt_total.md,93,13,0.491970131,-0.033338418
000509/2012,509,2012,clean1\深圳A股非ST公司\000509\华塑控股股份有限公司2012年年度报告.pdf.txt_total.md,34,10,-0.222711574,-0.169946966
000509/2014,509,2014,clean1\深圳A股非ST公司\000509\华塑控股股份有限公司2014年年度报告.pdf.txt_total.md,7,12,-0.614776016,-0.058855164
000509/2015,509,2015,clean1\深圳A股非ST公司\000509\华塑控股：2015年年度报告.pdf.txt_total.md,28,12,0.051570716,-0.058855164
000509/2016,509,2016,clean1\深圳A股非ST公司\000509\华塑控股：2016年年度报告（更新后）.pdf.txt_total.md,15,11,-0.365156539,-0.063592126
000509/2017,509,2017,clean1\深圳A股非ST公司\000509\华塑控股：2017年年度报告.pdf.txt_total.md,6,13,0.62728272,0.000350443
000509/2018,509,2018,clean1\深圳A股非ST公司\000509\华塑控股：2018年年度报告.pdf.txt_total.md,5,15,-0.30967116,-0.147329736
000510/2016,510,2016,clean1\深圳A股非ST公司\000510\金路集团：2016年年度报告.pdf.txt_total.md,10,11,0.431185524,-0.063625203
000511/2015,511,2015,clean1\深圳A股非ST公司\000511\_ST烯碳：2015年年度报告（更新后）.pdf.txt_total.md,33,8,0.227606191,-0.453807364
000511/2016,511,2016,clean1\深圳A股非ST公司\000511\_ST烯碳：2016年年度报告.pdf.txt_total.md,31,23,0.140432728,-0.298474903
000511/2017,511,2017,clean1\深圳A股非ST公司\000511\_ST烯碳：2017年年度报告.pdf.txt_total.md,31,22,0.404612488,-0.417700125
000511/2012,511,2012,clean1\深圳A股非ST公司\000511\沈阳银基发展股份有限公司2012年年度报告.pdf.txt_total.md,39,11,0.184265877,-0.063563607
000511/2013,511,2013,clean1\深圳A股非ST公司\000511\银基烯碳新材料股份有限公司2013年年度报告.pdf.txt_total.md,49,12,0.319858004,-0.058374306
000511/2014,511,2014,clean1\深圳A股非ST公司\000511\银基烯碳新材料股份有限公司2014年年度报告.pdf.txt_total.md,64,11,0.332770052,-0.063592161
000514/2015,514,2015,clean1\深圳A股非ST公司\000514\渝开发：2015年年度报告（更新后）.pdf.txt_total.md,48,11,0.225046682,-0.063283946
000514/2016,514,2016,clean1\深圳A股非ST公司\000514\渝开发：2016年年度报告.pdf.txt_total.md,69,11,0.23253674,-0.063469174
000514/2017,514,2017,clean1\深圳A股非ST公司\000514\渝开发：2017年年度报告.pdf.txt_total.md,55,8,0.195511031,0.101223573
000514/2018,514,2018,clean1\深圳A股非ST公司\000514\渝开发：2018年年度报告.pdf.txt_total.md,44,9,0.009479646,0.088262396
000514/2012,514,2012,clean1\深圳A股非ST公司\000514\重庆渝开发股份有限公司2012年年度报告（更新后）.pdf.txt_total.md,37,10,0.204864908,-0.178070594
000514/2013,514,2013,clean1\深圳A股非ST公司\000514\重庆渝开发股份有限公司2013年年度报告（更新后）.pdf.txt_total.md,58,11,0.26643261,-0.070972628
000514/2014,514,2014,clean1\深圳A股非ST公司\000514\重庆渝开发股份有限公司2014年年度报告.pdf.txt_total.md,44,11,0.201465259,-0.063283946
000516/2016,516,2016,clean1\深圳A股非ST公司\000516\国际医学：2016年年度报告.pdf.txt_total.md,49,11,0.309221436,-0.063403878
000516/2017,516,2017,clean1\深圳A股非ST公司\000516\国际医学：2017年年度报告（更新后）.pdf.txt_total.md,44,12,0.357574179,0.067137289
000516/2018,516,2018,clean1\深圳A股非ST公司\000516\国际医学：2018年年度报告.pdf.txt_total.md,58,8,0.445713039,0.101104757
000516/2014,516,2014,clean1\深圳A股非ST公司\000516\西安国际医学投资股份有限公司2014年年度报告.pdf.txt_total.md,39,4,0.346179689,-0.139221465
000516/2012,516,2012,clean1\深圳A股非ST公司\000516\西安开元投资集团股份有限公司2012年年度报告.pdf.txt_total.md,48,11,0.420273415,-0.063589314
000516/2013,516,2013,clean1\深圳A股非ST公司\000516\西安开元投资集团股份有限公司2013年年度报告.pdf.txt_total.md,55,10,0.38444572,-0.16994634
000517/2011,517,2011,clean1\深圳A股非ST公司\000517\荣安地产股份有限公司2011年年度报告.pdf.txt_total.md,549,0,0.029990253,
000517/2012,517,2012,clean1\深圳A股非ST公司\000517\荣安地产股份有限公司2012年年度报告.pdf.txt_total.md,50,11,0.093732553,-0.063600106
000517/2013,517,2013,clean1\深圳A股非ST公司\000517\荣安地产股份有限公司2013年年度报告.pdf.txt_total.md,26,11,0.137973343,-0.063600106
000517/2014,517,2014,clean1\深圳A股非ST公司\000517\荣安地产股份有限公司2014年年度报告.pdf.txt_total.md,51,11,0.127487886,-0.063414879
000517/2015,517,2015,clean1\深圳A股非ST公司\000517\荣安地产：2015年年度报告.pdf.txt_total.md,32,11,-0.047588127,-0.063414879
000517/2016,517,2016,clean1\深圳A股非ST公司\000517\荣安地产：2016年年度报告.pdf.txt_total.md,46,11,0.069104407,-0.063414879
000518/2015,518,2015,clean1\深圳A股非ST公司\000518\四环生物：2015年年度报告.pdf.txt_total.md,30,14,0.022279439,-0.109125964
000518/2016,518,2016,clean1\深圳A股非ST公司\000518\四环生物：2016年年度报告.pdf.txt_total.md,24,16,0.218384522,-0.176613633
000518/2017,518,2017,clean1\深圳A股非ST公司\000518\四环生物：2017年年度报告（更新后）.pdf.txt_total.md,25,13,0.151814526,0.062120571
000518/2012,518,2012,clean1\深圳A股非ST公司\000518\江苏四环生物股份有限公司2012年年度报告.pdf.txt_total.md,28,12,0.092345135,-0.058976423
000518/2013,518,2013,clean1\深圳A股非ST公司\000518\江苏四环生物股份有限公司2013年年度报告.pdf.txt_total.md,27,12,0.048177666,-0.058976423
000518/2014,518,2014,clean1\深圳A股非ST公司\000518\江苏四环生物股份有限公司2014年年度报告.pdf.txt_total.md,29,12,0.062604996,-0.058820877
000519/2016,519,2016,clean1\深圳A股非ST公司\000519\中兵红箭：2016年年度报告.pdf.txt_total.md,89,5,0.097756028,-0.111066666
000519/2017,519,2017,clean1\深圳A股非ST公司\000519\中兵红箭：2017年年度报告（更新后）.pdf.txt_total.md,111,0,0.338516282,
000519/2018,519,2018,clean1\深圳A股非ST公司\000519\中兵红箭：2018年年度报告.pdf.txt_total.md,104,0,0.486798669,
000519/2015,519,2015,clean1\深圳A股非ST公司\000519\江南红箭：2015年年度报告.pdf.txt_total.md,42,5,0.080690594,-0.110750513
000519/2012,519,2012,clean1\深圳A股非ST公司\000519\湖南江南红箭股份有限公司2012年年度报告（更新后）.pdf.txt_total.md,62,11,0.112783689,-0.063563637
000519/2013,519,2013,clean1\深圳A股非ST公司\000519\湖南江南红箭股份有限公司2013年年度报告.pdf.txt_total.md,77,0,0.100657509,
000519/2014,519,2014,clean1\深圳A股非ST公司\000519\湖南江南红箭股份有限公司2014年年度报告.pdf.txt_total.md,43,2,0.455759556,0.000989889
000520/2012,520,2012,clean1\深圳A股非ST公司\000520\长航凤凰股份有限公司2012年年度报告.pdf.txt_total.md,41,10,-0.463238269,-0.169779973
000520/2013,520,2013,clean1\深圳A股非ST公司\000520\长航凤凰股份有限公司2013年年度报告(更新后).pdf.txt_total.md,43,11,-0.359716816,-0.063436415
000520/2014,520,2014,clean1\深圳A股非ST公司\000520\长航凤凰股份有限公司2014年年度报告.pdf.txt_total.md,80,11,-0.191376224,-0.063436415
000520/2015,520,2015,clean1\深圳A股非ST公司\000520\长航凤凰：2015年年度报告.pdf.txt_total.md,27,11,-0.439870768,-0.063436415
000520/2016,520,2016,clean1\深圳A股非ST公司\000520\长航凤凰：2016年年度报告.pdf.txt_total.md,40,8,-0.460233703,-0.19299482
000520/2017,520,2017,clean1\深圳A股非ST公司\000520\长航凤凰：2017年年度报告（更新后）.pdf.txt_total.md,86,8,-0.070246827,-0.04083382
000520/2018,520,2018,clean1\深圳A股非ST公司\000520\长航凤凰：2018年年度报告.pdf.txt_total.md,67,10,-0.377805773,-0.036933707
000523/2012,523,2012,clean1\深圳A股非ST公司\000523\广州市浪奇实业股份有限公司2012年年度报告（更新后）.pdf.txt_total.md,87,8,0.383614347,-0.194383827
000523/2013,523,2013,clean1\深圳A股非ST公司\000523\广州市浪奇实业股份有限公司2013年年度报告.pdf.txt_total.md,92,3,0.440026482,-0.002575792
000523/2014,523,2014,clean1\深圳A股非ST公司\000523\广州市浪奇实业股份有限公司2014年年度报告.pdf.txt_total.md,74,12,0.536183387,-0.058820969
000523/2015,523,2015,clean1\深圳A股非ST公司\000523\广州浪奇：2015年年度报告.pdf.txt_total.md,95,12,0.275782587,-0.058820969
000523/2016,523,2016,clean1\深圳A股非ST公司\000523\广州浪奇：2016年年度报告.pdf.txt_total.md,94,12,0.542950653,-0.058820969
000523/2017,523,2017,clean1\深圳A股非ST公司\000523\广州浪奇：2017年年度报告.pdf.txt_total.md,101,13,0.403607081,0.080339657
000524/2016,524,2016,clean1\深圳A股非ST公司\000524\岭南控股：2016年年度报告.pdf.txt_total.md,65,12,0.367123648,-0.058740662
000524/2017,524,2017,clean1\深圳A股非ST公司\000524\岭南控股：2017年年度报告.pdf.txt_total.md,95,9,0.577311814,0.089663658
000524/2018,524,2018,clean1\深圳A股非ST公司\000524\岭南控股：2018年年度报告.pdf.txt_total.md,90,10,0.429581394,0.080877572
000524/2012,524,2012,clean1\深圳A股非ST公司\000524\广州市东方宾馆股份有限公司2012年年度报告.pdf.txt_total.md,59,0,0.458764932,
000524/2013,524,2013,clean1\深圳A股非ST公司\000524\广州市东方宾馆股份有限公司2013年年度报告.pdf.txt_total.md,38,12,0.058807936,-0.064878952
000524/2014,524,2014,clean1\深圳A股非ST公司\000524\广州市东方宾馆股份有限公司2014年年度报告.pdf.txt_total.md,43,12,0.128716469,-0.058463787
000525/2012,525,2012,clean1\深圳A股非ST公司\000525\南京红太阳股份有限公司2012年年度报告.pdf.txt_total.md,44,12,0.082087867,-0.058993686
000525/2013,525,2013,clean1\深圳A股非ST公司\000525\南京红太阳股份有限公司2013年年度报告.pdf.txt_total.md,57,0,0.195553282,
000525/2014,525,2014,clean1\深圳A股非ST公司\000525\南京红太阳股份有限公司2014年年度报告.pdf.txt_total.md,81,0,0.214836424,
000525/2015,525,2015,clean1\深圳A股非ST公司\000525\红太阳：2015年年度报告.pdf.txt_total.md,69,0,0.146350105,
000526/2017,526,2017,clean1\深圳A股非ST公司\000526\_ST紫学：2017年年度报告（更新后）.pdf.txt_total.md,130,0,-0.044661876,
000526/2012,526,2012,clean1\深圳A股非ST公司\000526\厦门银润投资股份有限公司2012年年度报告.pdf.txt_total.md,55,13,-0.067920845,-0.094765679
000526/2013,526,2013,clean1\深圳A股非ST公司\000526\厦门银润投资股份有限公司2013年年度报告.pdf.txt_total.md,53,13,-0.155080928,0.066141168
000526/2014,526,2014,clean1\深圳A股非ST公司\000526\厦门银润投资股份有限公司2014年年度报告.pdf.txt_total.md,54,0,-0.025362925,
000526/2016,526,2016,clean1\深圳A股非ST公司\000526\紫光学大：2016年年度报告.pdf.txt_total.md,102,11,-0.023975225,-0.063427936
000526/2018,526,2018,clean1\深圳A股非ST公司\000526\紫光学大：2018年年度报告.pdf.txt_total.md,95,0,-0.010500891,
000526/2015,526,2015,clean1\深圳A股非ST公司\000526\银润投资：2015年年度报告.pdf.txt_total.md,47,10,-0.099882339,-0.169769703
000528/2013,528,2013,clean1\深圳A股非ST公司\000528\广西柳工机械股份有限公司2013年年度报告.pdf.txt_total.md,57,12,0.482097594,-0.060661582
000528/2014,528,2014,clean1\深圳A股非ST公司\000528\广西柳工机械股份有限公司2014年年度报告.pdf.txt_total.md,55,11,0.390032638,-0.064732219
000528/2016,528,2016,clean1\深圳A股非ST公司\000528\柳工：2016年年度报告.pdf.txt_total.md,63,11,0.467688426,-0.06441823
000528/2017,528,2017,clean1\深圳A股非ST公司\000528\柳工：2017年年度报告.pdf.txt_total.md,72,45,0.583804884,-0.052990093
000528/2018,528,2018,clean1\深圳A股非ST公司\000528\柳工：2018年年度报告.pdf.txt_total.md,74,43,0.695359496,-0.056104859
000529/2012,529,2012,clean1\深圳A股非ST公司\000529\广东广弘控股股份有限公司2012年年度报告.pdf.txt_total.md,56,12,0.347818587,-0.058823778
000529/2013,529,2013,clean1\深圳A股非ST公司\000529\广东广弘控股股份有限公司2013年年度报告.pdf.txt_total.md,89,11,0.432212734,-0.063618626
000529/2014,529,2014,clean1\深圳A股非ST公司\000529\广东广弘控股股份有限公司2014年年度报告.pdf.txt_total.md,104,10,0.398011163,-0.169980406
000529/2015,529,2015,clean1\深圳A股非ST公司\000529\广弘控股：2015年年度报告（更新后）.pdf.txt_total.md,99,10,0.329183347,-0.154707282
000529/2017,529,2017,clean1\深圳A股非ST公司\000529\广弘控股：2017年年度报告（更新后）.pdf.txt_total.md,72,6,0.487528704,0.135321021
000531/2012,531,2012,clean1\深圳A股非ST公司\000531\广州恒运企业集团股份有限公司2012年年度报告.pdf.txt_total.md,77,12,0.328447315,-0.058991943
000531/2013,531,2013,clean1\深圳A股非ST公司\000531\广州恒运企业集团股份有限公司2013年年度报告.pdf.txt_total.md,116,3,0.268604981,-0.002572796
000531/2014,531,2014,clean1\深圳A股非ST公司\000531\广州恒运企业集团股份有限公司2014年年度报告.pdf.txt_total.md,61,5,0.311823385,-0.113060577
000531/2015,531,2015,clean1\深圳A股非ST公司\000531\穗恒运Ａ：2015年年度报告.pdf.txt_total.md,78,5,0.179612766,-0.113060577
000531/2016,531,2016,clean1\深圳A股非ST公司\000531\穗恒运Ａ：2016年年度报告.pdf.txt_total.md,68,11,0.314636161,-0.154758249
000531/2017,531,2017,clean1\深圳A股非ST公司\000531\穗恒运Ａ：2017年年度报告.pdf.txt_total.md,97,2,0.326216655,0.500000297
000531/2018,531,2018,clean1\深圳A股非ST公司\000531\穗恒运Ａ：2018年年度报告.pdf.txt_total.md,58,3,0.417905919,0.322970019
000532/2015,532,2015,clean1\深圳A股非ST公司\000532\力合股份：2015年年度报告（更新后）.pdf.txt_total.md,40,11,0.367159801,-0.063583467
000532/2016,532,2016,clean1\深圳A股非ST公司\000532\力合股份：2016年年度报告.pdf.txt_total.md,40,11,0.484273044,-0.063583467
000532/2017,532,2017,clean1\深圳A股非ST公司\000532\华金资本：2017年年度报告（更新后）.pdf.txt_total.md,47,13,0.463214909,-0.000863893
000532/2018,532,2018,clean1\深圳A股非ST公司\000532\华金资本：2018年年度报告.pdf.txt_total.md,29,14,0.319214711,-0.00100038
000533/2015,533,2015,clean1\深圳A股非ST公司\000533\万家乐：2015年年度报告.pdf.txt_total.md,31,11,0.126052305,-0.063579135
000533/2016,533,2016,clean1\深圳A股非ST公司\000533\万家乐：2016年年度报告.pdf.txt_total.md,72,11,0.055835836,-0.063764363
000533/2017,533,2017,clean1\深圳A股非ST公司\000533\万家乐：2017年年度报告（更新后）.pdf.txt_total.md,50,18,-0.142910017,0.043035784
000533/2012,533,2012,clean1\深圳A股非ST公司\000533\广东万家乐股份有限公司2012年年度报告(更新后).pdf.txt_total.md,19,11,0.037412414,-0.063579135
000533/2013,533,2013,clean1\深圳A股非ST公司\000533\广东万家乐股份有限公司2013年年度报告.pdf.txt_total.md,45,11,0.232240368,-0.063579135
000533/2014,533,2014,clean1\深圳A股非ST公司\000533\广东万家乐股份有限公司2014年年度报告.pdf.txt_total.md,27,11,-0.15831173,-0.063579135
000533/2018,533,2018,clean1\深圳A股非ST公司\000533\顺钠股份：2018年年度报告.pdf.txt_total.md,19,11,0.037412414,-0.063579135
000536/2012,536,2012,clean1\深圳A股非ST公司\000536\华映科技(集团)股份有限公司2012年年度报告.pdf.txt_total.md,8,6,0.073453168,-0.258461287
000536/2013,536,2013,clean1\深圳A股非ST公司\000536\华映科技(集团)股份有限公司2013年年度报告.pdf.txt_total.md,16,14,0.075804941,-0.06106105
000536/2014,536,2014,clean1\深圳A股非ST公司\000536\华映科技(集团)股份有限公司2014年年度报告.pdf.txt_total.md,38,5,-0.234309587,-0.110456323
000536/2011,536,2011,clean1\深圳A股非ST公司\000536\华映科技（集团）股份有限公司2011年年度报告.pdf.txt_total.md,695,8,0.026707055,-0.0181749
000536/2015,536,2015,clean1\深圳A股非ST公司\000536\华映科技：2015年年度报告.pdf.txt_total.md,82,11,0.021035629,-0.063486619
000536/2016,536,2016,clean1\深圳A股非ST公司\000536\华映科技：2016年年度报告.pdf.txt_total.md,49,11,-0.245366293,-0.063486239
000536/2017,536,2017,clean1\深圳A股非ST公司\000536\华映科技：2017年年度报告.pdf.txt_total.md,62,12,-0.023250261,0.051018047
000536/2018,536,2018,clean1\深圳A股非ST公司\000536\华映科技：2018年年度报告.pdf.txt_total.md,110,17,-0.259415088,-0.455993212
000537/2012,537,2012,clean1\深圳A股非ST公司\000537\天津广宇发展股份有限公司2012年年度报告.pdf.txt_total.md,2,12,0.585698352,-0.058820801
000537/2013,537,2013,clean1\深圳A股非ST公司\000537\天津广宇发展股份有限公司2013年年度报告.pdf.txt_total.md,2,12,0.812154024,-0.05807525
000537/2014,537,2014,clean1\深圳A股非ST公司\000537\天津广宇发展股份有限公司2014年年度报告（更新后）.pdf.txt_total.md,13,12,0.232422331,-0.05807525
000537/2015,537,2015,clean1\深圳A股非ST公司\000537\广宇发展：2015年年度报告（更新后）.pdf.txt_total.md,53,12,-0.085545067,-0.058948141
000537/2016,537,2016,clean1\深圳A股非ST公司\000537\广宇发展：2016年年度报告.pdf.txt_total.md,80,8,0.023137893,-0.193267609
000537/2017,537,2017,clean1\深圳A股非ST公司\000537\广宇发展：2017年年度报告.pdf.txt_total.md,84,13,0.193004585,-0.031716873
000537/2018,537,2018,clean1\深圳A股非ST公司\000537\广宇发展：2018年年度报告.pdf.txt_total.md,98,10,0.163678095,0.077312909
000538/2011,538,2011,clean1\深圳A股非ST公司\000538\云南白药集团股份有限公司2011年年度报告.pdf.txt_total.md,554,0,0.069965452,
000538/2012,538,2012,clean1\深圳A股非ST公司\000538\云南白药集团股份有限公司2012年年度报告.pdf.txt_total.md,22,11,0.34365855,-0.063857303
000538/2013,538,2013,clean1\深圳A股非ST公司\000538\云南白药集团股份有限公司2013年年度报告.pdf.txt_total.md,38,6,0.16087736,-0.258267566
000538/2014,538,2014,clean1\深圳A股非ST公司\000538\云南白药集团股份有限公司2014年年度报告.pdf.txt_total.md,45,6,0.232025168,-0.258267566
000538/2015,538,2015,clean1\深圳A股非ST公司\000538\云南白药：2015年年度报告.pdf.txt_total.md,46,0,0.046865545,
000538/2016,538,2016,clean1\深圳A股非ST公司\000538\云南白药：2016年年度报告.pdf.txt_total.md,39,4,0.175139162,-0.138930978
000538/2017,538,2017,clean1\深圳A股非ST公司\000538\云南白药：2017年年度报告.pdf.txt_total.md,96,9,0.406756007,0.089817457
000540/2012,540,2012,clean1\深圳A股非ST公司\000540\中天城投集团股份有限公司2012年年度报告.pdf.txt_total.md,29,11,0.349218516,-0.063766031
000540/2014,540,2014,clean1\深圳A股非ST公司\000540\中天城投集团股份有限公司2014年年度报告.pdf.txt_total.md,56,11,0.375186479,-0.063580803
000540/2015,540,2015,clean1\深圳A股非ST公司\000540\中天城投：2015年年度报告.pdf.txt_total.md,82,10,0.465861318,-0.169938693
000540/2016,540,2016,clean1\深圳A股非ST公司\000540\中天金融：2016年年度报告.pdf.txt_total.md,146,10,0.460662525,-0.169936792
000540/2017,540,2017,clean1\深圳A股非ST公司\000540\中天金融：2017年年度报告.pdf.txt_total.md,208,0,0.439141606,
000540/2018,540,2018,clean1\深圳A股非ST公司\000540\中天金融：2018年年度报告.pdf.txt_total.md,118,8,0.36512948,0.101151486
000543/2011,543,2011,clean1\深圳A股非ST公司\000543\安徽省皖能股份有限公司2011年年度报告.pdf.txt_total.md,602,0,-0.002442204,
000543/2012,543,2012,clean1\深圳A股非ST公司\000543\安徽省皖能股份有限公司2012年年度报告.pdf.txt_total.md,17,11,0.244088876,-0.063768947
000543/2013,543,2013,clean1\深圳A股非ST公司\000543\安徽省皖能股份有限公司2013年年度报告.pdf.txt_total.md,40,9,0.230181897,-0.171409908
000543/2016,543,2016,clean1\深圳A股非ST公司\000543\皖能电力：2016年年度报告.pdf.txt_total.md,46,10,0.264635913,-0.169942056
000543/2017,543,2017,clean1\深圳A股非ST公司\000543\皖能电力：2017年年度报告.pdf.txt_total.md,42,10,0.309937718,0.065635008
000543/2018,543,2018,clean1\深圳A股非ST公司\000543\皖能电力：2018年年度报告.pdf.txt_total.md,42,8,0.336427151,0.101209196
000544/2012,544,2012,clean1\深圳A股非ST公司\000544\中原环保股份有限公司2012年年度报告.pdf.txt_total.md,77,11,0.303968607,-0.063482033
000544/2013,544,2013,clean1\深圳A股非ST公司\000544\中原环保股份有限公司2013年年度报告.pdf.txt_total.md,65,12,0.271863927,-0.058142796
000544/2014,544,2014,clean1\深圳A股非ST公司\000544\中原环保股份有限公司2014年年度报告.pdf.txt_total.md,75,12,0.351707408,-0.058142796
000544/2015,544,2015,clean1\深圳A股非ST公司\000544\中原环保：2015年年度报告（更新后）.pdf.txt_total.md,56,12,0.322698409,-0.058142796
000544/2016,544,2016,clean1\深圳A股非ST公司\000544\中原环保：2016年年度报告.pdf.txt_total.md,59,12,0.409830235,-0.058142796
000544/2017,544,2017,clean1\深圳A股非ST公司\000544\中原环保：2017年年度报告.pdf.txt_total.md,99,13,0.299616154,-0.054270853
000544/2018,544,2018,clean1\深圳A股非ST公司\000544\中原环保：2018年年度报告.pdf.txt_total.md,90,16,0.299849145,0.003768357
